Index,Type,Position
0,P,[0 0 0]
1,P,[ 0  0 -1]
2,C,[ 1  0 -1]
3,H,[ 1 -1 -1]
4,H,[ 1 -1 -2]
5,P,[ 1 -1 -3]
6,P,[ 1  0 -3]
7,C,[ 1  0 -2]
8,H,[ 1  1 -2]
9,P,[ 1  2 -2]
10,P,[ 2  2 -2]
11,P,[ 2  1 -2]
12,P,[ 2  1 -1]
13,C,[ 2  0 -1]
14,H,[ 3  0 -1]
15,H,[ 3 -1 -1]
16,H,[ 2 -1 -1]
17,H,[ 2 -1 -2]
18,C,[ 2  0 -2]
19,H,[ 3  0 -2]
20,H,[ 3 -1 -2]
21,P,[ 4 -1 -2]
22,P,[ 4  0 -2]
23,H,[ 4  0 -1]
24,H,[ 4 -1 -1]
25,P,[ 4 -1  0]
26,P,[ 4 -2  0]
27,P,[ 4 -2 -1]
28,P,[ 4 -2 -2]
29,H,[ 3 -2 -2]
30,H,[ 3 -2 -1]
31,P,[ 3 -2  0]
32,P,[ 2 -2  0]
33,H,[ 2 -2 -1]
34,P,[ 2 -3 -1]
35,P,[ 2 -4 -1]
